WMM2015
Date   Alt(km) Lat(deg) Lon(deg) D(deg) I(deg) H(nT)   X(nT)    Y(nT)  Z(nT)    F(nT)   GV(deg)
2015.0   0      80        0      -3.85   83.04  6642.1  6627.1  -445.9  54432.3 54836.0  -3.85
2015.0   0       0      120       0.57  -15.89 39520.2 39518.2   392.9 -11252.4 41090.9   0.57
2015.0   0     -80      240      69.81  -72.39 16793.5  5797.3 15761.1 -52919.1 55519.8 -50.19
2015.0 100      80        0      -4.27   83.09  6331.9  6314.3  -471.6  52269.8 52652.0  -4.27
2015.0 100       0      120       0.56  -16.01 37537.3 37535.6   364.4 -10773.4 39052.7   0.56
2015.0 100     -80      240      69.22  -72.57 15820.7  5613.1 14791.5 -50378.6 52804.4 -50.78
2017.5   0      80        0      -2.75   83.08  6607.0  6599.4  -317.1  54459.2 54858.5  -2.75
2017.5   0       0      120       0.32  -15.57 39572.0 39571.4   222.5 -11030.1 41080.5   0.32
2017.5   0     -80      240      69.58  -72.28 16839.1  5873.8 15781.4 -52687.9 55313.4 -50.42
2017.5 100      80        0      -3.17   83.13  6300.1  6290.5  -348.5  52292.7 52670.9  -3.17
2017.5 100       0      120       0.32  -15.70 37586.1 37585.5   209.5 -10564.2 39042.5   0.32
2017.5 100     -80      240      69.00  -72.45 15862.0  5683.5 14808.8 -50163.0 52611.1 -51.00
